title,text,link,source
Kurdish leaders call for de-escalation following Iranian missile attacks,"ERBIL, Kurdistan Region – The Kurdistan Region's most senior leadership has urged parties involved in US-Iran tensions to conduct dialogue and prevent ...",Rudaw Media Network,https://www.news.google.com/./articles/CBMiMWh0dHBzOi8vd3d3LnJ1ZGF3Lm5ldC9lbmdsaXNoL2t1cmRpc3Rhbi8wODAxMjAyMDHSAQA?hl=en-PK&gl=PK&ceid=PK%3Aen
"Iran, Boeing 737, Carlos Ghosn: Your Wednesday Briefing",(Want to get this briefing by email? Here's the sign-up.) Good morning. We're covering Iran's retaliatory strikes against the U.S. and a deadly plane crash outside ...,The New York Times,https://www.news.google.com/./articles/CAIiEC8OjuH7nk5mXQytPkcX_bkqFwgEKg8IACoHCAowjuuKAzCWrzww5oEY?hl=en-PK&gl=PK&ceid=PK%3Aen
China calls for calm after Iran’s top military leader killed in US attack,"Beijing 'highly concerned' about escalating tensions in the Middle East and urges all sides, especially the US, to exercise restraint.",South China Morning Post,https://www.news.google.com/./articles/CAIiEN56tnlMuFno5TITrAv5dPoqGQgEKhAIACoHCAowief2CjCJ2dUCMKqaxwU?hl=en-PK&gl=PK&ceid=PK%3Aen
US Secretary of Defence calls COAS after Iran missile attack,Chief of Army Staff (COAS) General Qajar Bajwa received telephone call from US Secretary of Defence Mr Dr. Mark T. Esper. According to the Inter *service* ...,BOL News,https://www.news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmJvbG5ld3MuY29tL3Bha2lzdGFuLzIwMjAvMDEvdXMtc2VjcmV0YXJ5LW9mLWRlZmVuY2UtY2FsbHMtY29hcy1hZnRlci1pcmFuLW1pc3NpbGUtYXR0YWNrL9IBamh0dHBzOi8vd3d3LmJvbG5ld3MuY29tL3Bha2lzdGFuLzIwMjAvMDEvdXMtc2VjcmV0YXJ5LW9mLWRlZmVuY2UtY2FsbHMtY29hcy1hZnRlci1pcmFuLW1pc3NpbGUtYXR0YWNrLz9hbXA?hl=en-PK&gl=PK&ceid=PK%3Aen
Revealed: David Miliband called off SAS strike on Iranian General Qassim Soleimani in 2007,The SAS planned to assassinate Iranian military chief Qassim Soleimani during the Iraq War but were stopped by a personal intervention from Labour foreign ...,The Telegraph,https://www.news.google.com/./articles/CAIiEBm4YR7iAH4SRAwyBra7FkYqFggEKg4IACoGCAowm6R6MMKqCTCfrxU?hl=en-PK&gl=PK&ceid=PK%3Aen
The Latest: Turkish foreign minister to visit Iraq Thursday,"Turkey's foreign minister will visit Iraq on Thursday as part of diplomatic efforts to “alleviate the escalated tension"" in the region, a ministry statement said.",Coeur d'Alene Press,https://www.news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmNkYXByZXNzLmNvbS9hcnRpY2xlLzIwMjAwMTA4L0FQLzMwMTA4OTk5NNIBAA?hl=en-PK&gl=PK&ceid=PK%3Aen
Japan calls for easing of Middle East tensions,"TEHRAN, Iran (AP) — The latest on U.S.-Iran tensions in the wake of the U.S. airstrike that killed Iran's top general (all times local): 7:40 a.m. Japan says it will ...",WIAT - CBS42.com,https://www.news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmNiczQyLmNvbS9uZXdzL2lyYW4tc3RhdGUtdHYtdGVocmFuLWZpcmVzLWF0LWlyYXFpLWJhc2UtaG91c2luZy11cy10cm9vcHMv0gFaaHR0cHM6Ly93d3cuY2JzNDIuY29tL25ld3MvaXJhbi1zdGF0ZS10di10ZWhyYW4tZmlyZXMtYXQtaXJhcWktYmFzZS1ob3VzaW5nLXVzLXRyb29wcy9hbXAv?hl=en-PK&gl=PK&ceid=PK%3Aen
Hezbollah Leader Calls for Attacks on US Bases in Region After Iran General’s Death,The leader of the Iran-backed Hezbollah called on Shiite militias in the Middle East to attack American military assets.,The Epoch Times,https://www.news.google.com/./articles/CAIiEB451MzwzyZih0k7y7UxyKIqFwgEKg8IACoHCAow5uLNATDi2ycw3vRO?hl=en-PK&gl=PK&ceid=PK%3Aen
McConnell: Strikes Show ‘Growing Threat’ of Iran’s Missile Program,"Iranian missile strikes against bases in Iraq highlight the ""growing threat"" of Iran's missile program, Senate Majority Leader Mitch McConnell said.",The Epoch Times,https://www.news.google.com/./articles/CAIiEFq2ecUNQMcAVj__p7Dv4Z4qFwgEKg8IACoHCAow5uLNATDi2ycw3vRO?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran launches ballistic missiles at US bases in Iraq,"IRAN has struck back at the United States for killing a top Revolutionary Guard commander, firing ballistic missiles at two military bases in Iraq…",The National,https://www.news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnRoZW5hdGlvbmFsLnNjb3QvbmV3cy8xODE0NTAxMi5pcmFuLWxhdW5jaGVzLWJhbGxpc3RpYy1taXNzaWxlcy11cy1iYXNlcy1pcmFxL9IBAA?hl=en-PK&gl=PK&ceid=PK%3Aen
